datetime,Above Treeline,Treeline,Below Treeline,summary_raw,danger_above,danger_treeline,danger_below,summary_no_stop
2023-11-06,low,low,low,"You might be able to trigger a small avalanche on high-elevation, northerly-facing slopes. Look for continuous snow cover in gullies and couloirs to identify potential areas where you could trigger an avalanche. Even a small avalanche in the early season can bang you up, so consider the possible consequences before you ride.",1.0,1,1,"might able trigger small avalanche high-elevation , northerly-facing slopes . look continuous snow cover gullies couloirs identify potential areas could trigger avalanche . even small avalanche early season bang , consider possible consequences ride ."
2023-11-06,low,low,low,"The conditions are generally safe but that  does not mean no danger. Above treeline slopes facing north-to-northeast that hold more than about two feet of recently wind-drifted snow are the most likely places you could trigger an avalanche. Traveling on slopes less than about 30 degrees, or on wind-sheltered terrain will help you stay safer but you may encounter shallowly-buried obstacles like logs and rocks.",1.0,1,1,"conditions generally safe mean danger . treeline slopes facing north-to-northeast hold two feet recently wind-drifted snow likely places could trigger avalanche . traveling slopes less 30 degrees , wind-sheltered terrain help stay safer may encounter shallowly-buried obstacles like logs rocks ."
2023-11-06,low,low,low,"You might be able to trigger a small avalanche on high-elevation, northerly-facing slopes. Look for continuous snow cover in gullies and couloirs to identify potential areas where you could trigger an avalanche. Even a small avalanche in the early season can bang you up, so consider the possible consequences before you ride.",1.0,1,1,"might able trigger small avalanche high-elevation , northerly-facing slopes . look continuous snow cover gullies couloirs identify potential areas could trigger avalanche . even small avalanche early season bang , consider possible consequences ride ."
2023-11-07,low,low,low,"The conditions are generally safe but that does not mean no danger. Above treeline slopes facing north-to-northeast that hold more than about two feet of recently wind-drifted snow are the most likely places you could trigger an avalanche.Traveling on slopes less than about 30 degrees, or on wind-sheltered terrain will help you stay safer but you may encounter shallowly-buried obstacles like logs and rocks.",1.0,1,1,"conditions generally safe mean danger . treeline slopes facing north-to-northeast hold two feet recently wind-drifted snow likely places could trigger avalanche.traveling slopes less 30 degrees , wind-sheltered terrain help stay safer may encounter shallowly-buried obstacles like logs rocks ."
2023-11-07,low,low,low,"You might be able to trigger a small avalanche on high-elevation, northerly-facing slopes. Look for continuous snow cover in gullies and couloirs to identify potential areas where you could trigger an avalanche. Even a small avalanche in the early season can bang you up, so consider the possible consequences before you ride.",1.0,1,1,"might able trigger small avalanche high-elevation , northerly-facing slopes . look continuous snow cover gullies couloirs identify potential areas could trigger avalanche . even small avalanche early season bang , consider possible consequences ride ."
2023-11-08,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. ",1.0,1,1,"may able trigger avalanche high-elevation north northeast-facing slopes , especially gullies , couloirs , concave features catch hold wind-drifted snow . dangerous slopes continuous snow cover inviting places ride . carefully weigh consequences getting caught tumbled rocks hard ground ride ."
2023-11-08,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. ",1.0,1,1,"may able trigger avalanche high-elevation north northeast-facing slopes , especially gullies , couloirs , concave features catch hold wind-drifted snow . dangerous slopes continuous snow cover inviting places ride . carefully weigh consequences getting caught tumbled rocks hard ground ride ."
2023-11-08,low,low,low,"You can trigger an avalanche at upper elevations where you find more than about six inches of drifted snow. Be wary of drifted snow directly below ridgelines or in steep gullies, especially where drifted or dense snow is resting on older, weaker snow near the ground. If you notice cracking or collapsing in recently drifted snow, you should move to wind-sheltered or low-angle slopes. Early-season avalanches can take you for a dangerous ride if you are carried over exposed rocks or stumps.",1.0,1,1,"trigger avalanche upper elevations find six inches drifted snow . wary drifted snow directly ridgelines steep gullies , especially drifted dense snow resting older , weaker snow near ground . notice cracking collapsing recently drifted snow , move wind-sheltered low-angle slopes . early-season avalanches take dangerous ride carried exposed rocks stumps ."
2023-11-09,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. ",1.0,1,1,"may able trigger avalanche high-elevation north northeast-facing slopes , especially gullies , couloirs , concave features catch hold wind-drifted snow . dangerous slopes continuous snow cover inviting places ride . carefully weigh consequences getting caught tumbled rocks hard ground ride ."
2023-11-09,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. ",1.0,1,1,"may able trigger avalanche high-elevation north northeast-facing slopes , especially gullies , couloirs , concave features catch hold wind-drifted snow . dangerous slopes continuous snow cover inviting places ride . carefully weigh consequences getting caught tumbled rocks hard ground ride ."
2023-11-09,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. ",1.0,1,1,"may able trigger avalanche high-elevation north northeast-facing slopes , especially gullies , couloirs , concave features catch hold wind-drifted snow . dangerous slopes continuous snow cover inviting places ride . carefully weigh consequences getting caught tumbled rocks hard ground ride ."
2023-11-09,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. ",1.0,1,1,"may able trigger avalanche high-elevation north northeast-facing slopes , especially gullies , couloirs , concave features catch hold wind-drifted snow . dangerous slopes continuous snow cover inviting places ride . carefully weigh consequences getting caught tumbled rocks hard ground ride ."
2023-11-09,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. ",1.0,1,1,"may able trigger avalanche high-elevation north northeast-facing slopes , especially gullies , couloirs , concave features catch hold wind-drifted snow . dangerous slopes continuous snow cover inviting places ride . carefully weigh consequences getting caught tumbled rocks hard ground ride ."
2023-11-09,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. ",1.0,1,1,"may able trigger avalanche high-elevation north northeast-facing slopes , especially gullies , couloirs , concave features catch hold wind-drifted snow . dangerous slopes continuous snow cover inviting places ride . carefully weigh consequences getting caught tumbled rocks hard ground ride ."
2023-11-09,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine.  Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding. If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness. ",1.0,1,1,"slopes safe avalanches , mainly due thin coverage . may able trigger small avalanches stiffer , wind-drifted snow northerly east-facing slopes alpine . filled gullies wind-loaded slopes ridges suspect attractive riding . find cracking new snow , head slopes sheltered wind slopes less around 30 degrees steepness ."
2023-11-09,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine.  Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding. If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness. ",1.0,1,1,"slopes safe avalanches , mainly due thin coverage . may able trigger small avalanches stiffer , wind-drifted snow northerly east-facing slopes alpine . filled gullies wind-loaded slopes ridges suspect attractive riding . find cracking new snow , head slopes sheltered wind slopes less around 30 degrees steepness ."
2023-11-09,low,low,low,"You may be able to trigger an avalanche on upper-elevation north and northeast-facing slopes. Unfortunately, the best slopes to ride are also where you are most likely to trigger an avalanche. Be cautious in areas with continuous snow cover, especially in gullies, couloirs, and concave features. Look out for areas of drifted or dense snow resting over weak snow near the ground. Small avalanches can take you for a dangerous ride if you are carried over exposed rocks.",1.0,1,1,"may able trigger avalanche upper-elevation north northeast-facing slopes . unfortunately , best slopes ride also likely trigger avalanche . cautious areas continuous snow cover , especially gullies , couloirs , concave features . look areas drifted dense snow resting weak snow near ground . small avalanches take dangerous ride carried exposed rocks ."
2023-11-09,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine.  Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding. If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness. ",1.0,1,1,"slopes safe avalanches , mainly due thin coverage . may able trigger small avalanches stiffer , wind-drifted snow northerly east-facing slopes alpine . filled gullies wind-loaded slopes ridges suspect attractive riding . find cracking new snow , head slopes sheltered wind slopes less around 30 degrees steepness ."
2023-11-09,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine.  Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding. If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness. ",1.0,1,1,"slopes safe avalanches , mainly due thin coverage . may able trigger small avalanches stiffer , wind-drifted snow northerly east-facing slopes alpine . filled gullies wind-loaded slopes ridges suspect attractive riding . find cracking new snow , head slopes sheltered wind slopes less around 30 degrees steepness ."
2023-11-10,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine. Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding.If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness.",1.0,1,1,"slopes safe avalanches , mainly due thin coverage . may able trigger small avalanches stiffer , wind-drifted snow northerly east-facing slopes alpine . filled gullies wind-loaded slopes ridges suspect attractive riding.if find cracking new snow , head slopes sheltered wind slopes less around 30 degrees steepness ."
2023-11-10,low,low,low,"You can trigger an avalanche where you find more than about six inches of drifted snow on high-elevation north through northeast to east-facing slopes. Be cautious of areas where drifted snow rests on lingering patches of old snow, like in gullies and below ridgelines. If you observe cracking or collapsing in the new snow, then move to wind-sheltered or low-angle slopes.",1.0,1,1,"trigger avalanche find six inches drifted snow high-elevation north northeast east-facing slopes . cautious areas drifted snow rests lingering patches old snow , like gullies ridgelines . observe cracking collapsing new snow , move wind-sheltered low-angle slopes ."
2023-11-11,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine. Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding.If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness.",1.0,1,1,"slopes safe avalanches , mainly due thin coverage . may able trigger small avalanches stiffer , wind-drifted snow northerly east-facing slopes alpine . filled gullies wind-loaded slopes ridges suspect attractive riding.if find cracking new snow , head slopes sheltered wind slopes less around 30 degrees steepness ."
2023-11-13,low,low,low,"Avoiding triggering an avalanche is as simple as not traveling on steep slopes with continuous snow cover. If you were to trigger an avalanche, it would be small and on a high-elevation, northerly-facing gully or slope just below a ridgeline. Look for and avoid features that appear smooth or rounded. Even a small avalanche in early season conditions can be dangerous.",1.0,1,1,"avoiding triggering avalanche simple traveling steep slopes continuous snow cover . trigger avalanche , would small high-elevation , northerly-facing gully slope ridgeline . look avoid features appear smooth rounded . even small avalanche early season conditions dangerous ."
2023-11-13,low,low,low,"Most slopes are safe to travel on. Terrain in the alpine, facing north and east, which have continuous snow, are the areas where you could trigger a small slide. Look for smooth pillows of firm snow capping old snow. Areas close to Berthoud Pass and in the northern 10-Mile range have the highest chance of this hazardous setup. Even a small slide in the early season can be dangerous, with many shallowly buried objects to hit.",1.0,1,1,"slopes safe travel . terrain alpine , facing north east , continuous snow , areas could trigger small slide . look smooth pillows firm snow capping old snow . areas close berthoud pass northern 10-mile range highest chance hazardous setup . even small slide early season dangerous , many shallowly buried objects hit ."
2023-11-14,low,low,low,"Thin snow coverage and generally safe avalanche conditions exist.  Terrain in the alpine, facing north and east, which have continuous snow, are the areas where you could trigger a small slide. Look for smooth pillows of firm, drifted snow capping old snow. Areas close to Berthoud Pass and in the northern 10-Mile range have the highest chance of this hazardous setup. Even a small slide in the early season can be dangerous, with many shallowly buried objects to hit.",1.0,1,1,"thin snow coverage generally safe avalanche conditions exist . terrain alpine , facing north east , continuous snow , areas could trigger small slide . look smooth pillows firm , drifted snow capping old snow . areas close berthoud pass northern 10-mile range highest chance hazardous setup . even small slide early season dangerous , many shallowly buried objects hit ."
2023-11-14,low,low,low,"If you were to look for slopes where you might trigger a small avalanche, it would be on a high-elevation, northerly-facing gully or just below a ridgeline. Avoid traveling on features that feel firm or sound hollow. Even a small avalanche can be dangerous in the early season due to barely buried rocks and stumps.",1.0,1,1,"look slopes might trigger small avalanche , would high-elevation , northerly-facing gully ridgeline . avoid traveling features feel firm sound hollow . even small avalanche dangerous early season due barely buried rocks stumps ."
2023-11-14,low,low,low,"Thin snow coverage and generally safe avalanche conditions exist.  Terrain in the alpine, facing north and east, which have continuous snow, are the areas where you could trigger a small slide. Look for smooth pillows of firm, drifted snow capping old snow. Areas close to Berthoud Pass and in the northern 10-Mile range have the highest chance of this hazardous setup. Even a small slide in the early season can be dangerous, with many shallowly buried objects to hit.",1.0,1,1,"thin snow coverage generally safe avalanche conditions exist . terrain alpine , facing north east , continuous snow , areas could trigger small slide . look smooth pillows firm , drifted snow capping old snow . areas close berthoud pass northern 10-mile range highest chance hazardous setup . even small slide early season dangerous , many shallowly buried objects hit ."
2023-11-14,low,low,low,"If you were to look for slopes where you might trigger a small avalanche, it would be on a high-elevation, northerly-facing gully or just below a ridgeline. Avoid traveling on features that feel firm or sound hollow. Even a small avalanche can be dangerous in the early season due to barely buried rocks and stumps.",1.0,1,1,"look slopes might trigger small avalanche , would high-elevation , northerly-facing gully ridgeline . avoid traveling features feel firm sound hollow . even small avalanche dangerous early season due barely buried rocks stumps ."
2023-11-15,moderate,low,low,"Although avalanches are unlikely, check upper elevation north through northeast to east-facing slopes for deeper deposits of wind-drifted snow that feel hard or hollow. You will find these deeper deposits below ridgelines and in gullies. Even a small slide in the early season can be dangerous, with many shallowly buried objects to hit.",2.0,1,1,"although avalanches unlikely , check upper elevation north northeast east-facing slopes deeper deposits wind-drifted snow feel hard hollow . find deeper deposits ridgelines gullies . even small slide early season dangerous , many shallowly buried objects hit ."
2023-11-16,moderate,low,low,"New snow and wind will increase the avalanche danger on Thursday at wind-exposed, upper elevations in the Park Range. The main concern is wind-drifted snow landing on older, collapsible layers of snow on north, northeast, and east-facing aspects. Any avalanche that you trigger in these places will most likely be small, but taking a ride in early-season conditions with many exposed rocks can be consequential.",2.0,1,1,"new snow wind increase avalanche danger thursday wind-exposed , upper elevations park range . main concern wind-drifted snow landing older , collapsible layers snow north , northeast , east-facing aspects . avalanche trigger places likely small , taking ride early-season conditions many exposed rocks consequential ."
2023-11-16,low,low,low,"Variable snow coverage and generally safe avalanche conditions exist. The most dangerous slopes are above treeline, facing north and east. On these slopes, you might trigger a small avalanche in freshly drifted snow where you can find continuous old snow from earlier in the season. Wind drifts can be identified by their smooth, rounded appearance. There is a high risk of hitting shallowly buried obstacles while traveling in the backcountry.",1.0,1,1,"variable snow coverage generally safe avalanche conditions exist . dangerous slopes treeline , facing north east . slopes , might trigger small avalanche freshly drifted snow find continuous old snow earlier season . wind drifts identified smooth , rounded appearance . high risk hitting shallowly buried obstacles traveling backcountry ."
2023-11-17,low,low,low,"Generally safe avalanche conditions exist. The few areas where you may be able to trigger an avalanche are where about one to three inches of new snow from Thursday, accompanied by strong westerly winds, created thin, cohesive slabs of snow on top of weak October snow. Identify and avoid wind-loaded slopes to reduce your chances of triggering a small but potentially dangerous avalanche. You are most likely to encounter these wind-loaded slopes on the lee sides of a ridgeline or in a northerly or easterly-facing gully or couloir where the snow has a hard, hollow feel to it.",1.0,1,1,"generally safe avalanche conditions exist . areas may able trigger avalanche one three inches new snow thursday , accompanied strong westerly winds , created thin , cohesive slabs snow top weak october snow . identify avoid wind-loaded slopes reduce chances triggering small potentially dangerous avalanche . likely encounter wind-loaded slopes lee sides ridgeline northerly easterly-facing gully couloir snow hard , hollow feel ."
2023-11-17,low,low,low,"New snow on Thursday and continuing wind will keep the avalanche danger elevated above treeline in the Park Range on Friday. You can trigger an avalanche where you find recently drifted snow resting on weak, old snow from October. You are most likely to find this combination on north, northeast, and east-facing slopes, especially just below ridgelines and in gullies. Any avalanche you trigger should be small, but could take you for a ride over exposed rocks.",1.0,1,1,"new snow thursday continuing wind keep avalanche danger elevated treeline park range friday . trigger avalanche find recently drifted snow resting weak , old snow october . likely find combination north , northeast , east-facing slopes , especially ridgelines gullies . avalanche trigger small , could take ride exposed rocks ."
2023-11-18,moderate,moderate,low,"Generally safe avalanche conditions exist throughout the Elk Mountains on Saturday. The few areas where you might be able to trigger a small avalanche are on wind-loaded terrain features such as the lee side of a ridge or along the sides of a gully or couloir. Even a small avalanche can knock you over and take you for a dangerous ride. Avoid steep slopes that have a hard, hollow feel to them or have a smooth, rounded, often wave-like surface appearance to decrease your chances of triggering an avalanche.You can expect the avalanche danger to increase on Sunday with an incoming storm.",2.0,2,1,"generally safe avalanche conditions exist throughout elk mountains saturday . areas might able trigger small avalanche wind-loaded terrain features lee side ridge along sides gully couloir . even small avalanche knock take dangerous ride . avoid steep slopes hard , hollow feel smooth , rounded , often wave-like surface appearance decrease chances triggering avalanche.you expect avalanche danger increase sunday incoming storm ."
