datetime,Above Treeline,Treeline,Below Treeline,Summary_clean
2023-11-09,low,low,low,"You may be able to trigger an avalanche on high-elevation north and northeast-facing slopes, especially in gullies, couloirs, and concave features that catch and hold wind-drifted snow. The most dangerous slopes will have the most continuous snow cover and are the most inviting places to ride. Carefully weigh the consequences of getting caught and tumbled over rocks and hard ground before you ride. "
2023-11-09,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine.  Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding. If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness. "
2023-11-09,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine.  Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding. If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness. "
2023-11-09,low,low,low,"You may be able to trigger an avalanche on upper-elevation north and northeast-facing slopes. Unfortunately, the best slopes to ride are also where you are most likely to trigger an avalanche. Be cautious in areas with continuous snow cover, especially in gullies, couloirs, and concave features. Look out for areas of drifted or dense snow resting over weak snow near the ground. Small avalanches can take you for a dangerous ride if you are carried over exposed rocks."
2023-11-09,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine.  Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding. If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness. "
2023-11-09,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine.  Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding. If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness. "
2023-11-10,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine. Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding.If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness."
2023-11-10,low,low,low,"You can trigger an avalanche where you find more than about six inches of drifted snow on high-elevation north through northeast to east-facing slopes. Be cautious of areas where drifted snow rests on lingering patches of old snow, like in gullies and below ridgelines. If you observe cracking or collapsing in the new snow, then move to wind-sheltered or low-angle slopes."
2023-11-11,low,low,low,"Most slopes are safe from avalanches, mainly due to very thin coverage. You may be able to trigger small avalanches in stiffer, wind-drifted snow on northerly and east-facing slopes in the alpine. Filled in gullies and wind-loaded slopes below ridges are both the most suspect and attractive for riding.If you find cracking in the new snow, head to slopes sheltered from the wind or slopes less than around 30 degrees in steepness."
2023-11-13,low,low,low,"Avoiding triggering an avalanche is as simple as not traveling on steep slopes with continuous snow cover. If you were to trigger an avalanche, it would be small and on a high-elevation, northerly-facing gully or slope just below a ridgeline. Look for and avoid features that appear smooth or rounded. Even a small avalanche in early season conditions can be dangerous."
2023-11-13,low,low,low,"Most slopes are safe to travel on. Terrain in the alpine, facing north and east, which have continuous snow, are the areas where you could trigger a small slide. Look for smooth pillows of firm snow capping old snow. Areas close to Berthoud Pass and in the northern 10-Mile range have the highest chance of this hazardous setup. Even a small slide in the early season can be dangerous, with many shallowly buried objects to hit."
2023-11-14,low,low,low,"Thin snow coverage and generally safe avalanche conditions exist.  Terrain in the alpine, facing north and east, which have continuous snow, are the areas where you could trigger a small slide. Look for smooth pillows of firm, drifted snow capping old snow. Areas close to Berthoud Pass and in the northern 10-Mile range have the highest chance of this hazardous setup. Even a small slide in the early season can be dangerous, with many shallowly buried objects to hit."
2023-11-14,low,low,low,"If you were to look for slopes where you might trigger a small avalanche, it would be on a high-elevation, northerly-facing gully or just below a ridgeline. Avoid traveling on features that feel firm or sound hollow. Even a small avalanche can be dangerous in the early season due to barely buried rocks and stumps."
2023-11-14,low,low,low,"Thin snow coverage and generally safe avalanche conditions exist.  Terrain in the alpine, facing north and east, which have continuous snow, are the areas where you could trigger a small slide. Look for smooth pillows of firm, drifted snow capping old snow. Areas close to Berthoud Pass and in the northern 10-Mile range have the highest chance of this hazardous setup. Even a small slide in the early season can be dangerous, with many shallowly buried objects to hit."
2023-11-14,low,low,low,"If you were to look for slopes where you might trigger a small avalanche, it would be on a high-elevation, northerly-facing gully or just below a ridgeline. Avoid traveling on features that feel firm or sound hollow. Even a small avalanche can be dangerous in the early season due to barely buried rocks and stumps."
2023-11-15,moderate,low,low,"Although avalanches are unlikely, check upper elevation north through northeast to east-facing slopes for deeper deposits of wind-drifted snow that feel hard or hollow. You will find these deeper deposits below ridgelines and in gullies. Even a small slide in the early season can be dangerous, with many shallowly buried objects to hit."
2023-11-16,moderate,low,low,"New snow and wind will increase the avalanche danger on Thursday at wind-exposed, upper elevations in the Park Range. The main concern is wind-drifted snow landing on older, collapsible layers of snow on north, northeast, and east-facing aspects. Any avalanche that you trigger in these places will most likely be small, but taking a ride in early-season conditions with many exposed rocks can be consequential."
2023-11-16,low,low,low,"Variable snow coverage and generally safe avalanche conditions exist. The most dangerous slopes are above treeline, facing north and east. On these slopes, you might trigger a small avalanche in freshly drifted snow where you can find continuous old snow from earlier in the season. Wind drifts can be identified by their smooth, rounded appearance. There is a high risk of hitting shallowly buried obstacles while traveling in the backcountry."
2023-11-17,low,low,low,"Generally safe avalanche conditions exist. The few areas where you may be able to trigger an avalanche are where about one to three inches of new snow from Thursday, accompanied by strong westerly winds, created thin, cohesive slabs of snow on top of weak October snow. Identify and avoid wind-loaded slopes to reduce your chances of triggering a small but potentially dangerous avalanche. You are most likely to encounter these wind-loaded slopes on the lee sides of a ridgeline or in a northerly or easterly-facing gully or couloir where the snow has a hard, hollow feel to it."
2023-11-17,low,low,low,"New snow on Thursday and continuing wind will keep the avalanche danger elevated above treeline in the Park Range on Friday. You can trigger an avalanche where you find recently drifted snow resting on weak, old snow from October. You are most likely to find this combination on north, northeast, and east-facing slopes, especially just below ridgelines and in gullies. Any avalanche you trigger should be small, but could take you for a ride over exposed rocks."
2023-11-18,moderate,moderate,low,"Generally safe avalanche conditions exist throughout the Elk Mountains on Saturday. The few areas where you might be able to trigger a small avalanche are on wind-loaded terrain features such as the lee side of a ridge or along the sides of a gully or couloir. Even a small avalanche can knock you over and take you for a dangerous ride. Avoid steep slopes that have a hard, hollow feel to them or have a smooth, rounded, often wave-like surface appearance to decrease your chances of triggering an avalanche.You can expect the avalanche danger to increase on Sunday with an incoming storm."
2023-11-18,moderate,low,low,"While generally safe avalanche conditions exist. There are some isolated areas where you can trigger an avalanche. Look out for and avoid places where the wind drifted snow into cohesive slabs that rest on weak October snow. You are most likely to find these areas in the Park Range at high elevations on northerly and east-facing slopes, especially just below ridgelines or in a gully. Identify and avoid these slopes to reduce your chances of triggering a small but potentially dangerous avalanche."
2023-11-18,low,low,low,"Generally safe avalanche conditions exist. There are few areas where you can trigger an avalanche. Look out for and avoid places where drifting snow created thin, cohesive slabs that rest on weak October snow. You are most likely to find these slabs at high elevations on northerly and east-facing slopes, especially just below ridgelines or in a gully or couloir. Identify and avoid these slopes to reduce your chances of triggering a small but potentially dangerous avalanche."
2023-11-18,moderate,low,low,"Limited snow cover means there are very few places where you can trigger an avalanche. If you find hard, wind-drifted snow on high-elevation northerly-facing slopes, there is a slim chance you might trigger a small avalanche. Use caution traveling in steep gullies and areas close to ridgelines where going for a ride in a small slide with such shallow snow cover can be dangerous.A period of unsettled weather begins Saturday lasting through the weekend. Expect the avalanche danger to increase on Sunday as fresh slabs of snow form above weak, early-season snow."
2023-11-18,low,low,low,"Limited snow cover means there are very few places where you can trigger an avalanche. If you find hard, wind-drifted snow on high-elevation northerly-facing slopes, there is a slim chance you might trigger a small avalanche. Use caution traveling in steep gullies and areas close to ridgelines where going for a ride in a small slide with such shallow snow cover can be dangerous.A period of unsettled weather begins Saturday lasting through the weekend. The avalanche danger may increase on Sunday if snowfall exceeds forecast amounts."
2023-11-19,moderate,moderate,low,"You can easily trigger small avalanches on steep, wind-loaded slopes facing northwest through north to east, generally above 10,000 ft. These avalanches may be small but they can knock you off your feet and take you for a dangerous ride through a thin snowpack. To reduce your chances of triggering an avalanche avoid traveling on steep slopes where you notice wind drifting snow onto the slope. The most dangerous areas are the lee sides of ridgelines and in gullies or couloirs where wind shifting from the southwest through west to the northwest will continuously load additional snow onto a very weak snowpack."
2023-11-19,moderate,low,low,"Most slopes are safe from avalanches, mainly due to thin or non-existent snow cover.  Some welcome snowfall is increasing the threat for avalanches on wind-loaded slopes in the alpine. New and drifting snow means you can find slopes with wind-stiffened snow on high-elevation northerly-facing slopes where you could trigger a small avalanche. Use caution traveling in steep gullies and areas close to ridgelines where going for a ride in a small slide with such shallow snow cover can be dangerous."
2023-11-20,moderate,moderate,low,"You can trigger small avalanches where the new snow drifted onto slopes with pre-existing snow coverage. The most dangerous slopes are the lee sides of ridgelines and in gullies or couloirs that face northerly and east above around 10,500 feet.Even small avalanches can lead to serious injury or worse at this time of year, as you''ll be dragged through shallowly-buried rocks, logs and stumps. Your chances of triggering an avalanche are much less on sheltered and lower-elevation slopes."
2023-11-20,moderate,moderate,low,"You can trigger small avalanches where the new snow drifted onto slopes with pre-existing snow coverage. The most dangerous slopes are the lee sides of ridgelines and in gullies or couloirs that face northerly and east above around 10,500 feet.Even small avalanches can lead to serious injury or worse at this time of year, as you''ll be dragged through shallowly-buried rocks, logs and stumps. Your chances of triggering an avalanche are much less on sheltered and lower-elevation slopes."
2023-11-20,moderate,low,low,"Be cautious on slopes with more than about six inches of new or wind-drifted snow. Look for and avoid firm, rounded pillows of snow that crack beneath your weight. These are most likely found close to ridge crests and in gully features. The slopes that had snow before this storm will be the most dangerous. You can find safer riding on lower-angled slopes or those sheltered from the wind."
2023-11-21,moderate,moderate,low,"You can trigger an avalanche where you find more than around 10 inches of recently fallen storm snow on northerly or easterly-facing slopes above around 10,500 feet. Most avalanches will break around a foot deep, although one could break deeper in wind-drifted terrain features. While relatively thin, one of these avalanches could break wider than you might expect. Taking a ride in any avalanche at this time of year could end badly if it pushes you into logs or rocks.Safer travel options include low-angle slopes and terrain where the storm snow fell on dirt."
2023-11-21,moderate,low,low,You can trigger a small avalanche where you find more than about six inches of new or wind-drifted snow. Look for and avoid textured snow that feels firm under you or cracks beneath your weight. Northerly and east-facing slopes that held snow previous to the weekend''s storm will be the most dangerous. Safer riding conditions will be low-angled slopes or those sheltered from the wind. 
2023-11-22,moderate,moderate,low,"Several recent natural avalanches highlight that you can trigger an avalanche where you find more than around 10 inches of recently fallen storm snow on northerly or easterly-facing slopes above around 10,500 feet. Most avalanches will break around a foot deep, although one could break deeper in wind-drifted terrain features. While relatively thin, one of these avalanches could break wider than you might expect. Taking a ride in any avalanche at this time of year could end badly if it pushes you into logs or rocks.Safer travel options include low-angle slopes and terrain where the storm snow fell on dirt."
2023-11-22,low,low,low,You could trigger a small avalanche on slopes with continuous snow cover where you find firm surface snow over weaker snow at the ground. These slopes will also be the most tempting to ride and will be found below ridges and in gullies. Avoid rounded pillows of firm snow that crack under your weight. You can find safer travel on lower-angled slopes or those with no snow before the recent storm.
2023-11-22,low,low,low,You could trigger a small avalanche on slopes with continuous snow cover where you find firm surface snow over weaker snow at the ground. These slopes will also be the most tempting to ride and will be found below ridges and in gullies. Avoid rounded pillows of firm snow that crack under your weight. You can find safer travel on lower-angled slopes or those with no snow before the recent storm.
2023-11-22,moderate,moderate,low,"Several recent natural avalanches highlight that you can trigger an avalanche where you find more than around 10 inches of recently fallen storm snow on northerly or easterly-facing slopes above around 10,500 feet. Most avalanches will break around a foot deep, although one could break deeper in wind-drifted terrain features. While relatively thin, one of these avalanches could break wider than you might expect. Taking a ride in any avalanche at this time of year could end badly if it pushes you into logs or rocks.Safer travel options include low-angle slopes and terrain where the storm snow fell on dirt."
2023-11-22,low,low,low,You could trigger a small avalanche on slopes with continuous snow cover where you find firm surface snow over weaker snow at the ground. These slopes will also be the most tempting to ride and will be found below ridges and in gullies. Avoid rounded pillows of firm snow that crack under your weight. You can find safer travel on lower-angled slopes or those with no snow before the recent storm.
2023-11-23,considerable,considerable,moderate,A potent winter storm is impacting the area Friday. As new snow accumulates the avalanche danger will increase rapidly with up to 10 inches possible by evening. Strong winds are drifting snow onto northerly and easterly aspects burying old weak snow. You can trigger an avalanche where you find more than around 10 inches of drifted snow. Avalanches may break deeper and wider than you anticipate. Getting caught in even a small avalanche at this time of year could end badly if it carries you into rocks or other shallowly buried hazards.Safer travel options include low-angle slopes and wind-sheltered terrain.
2023-11-23,moderate,moderate,low,You could trigger a small avalanche on northerly and east-facing slopes where you find more than eight inches of wind-drifted snow. Beware slopes with continuous snow cover where you find firm surface snow over weaker snow at the ground. These slopes will also be the most tempting to ride and will be found below ridges and in gullies. Avalanches may break wider than you anticipate. Shooting cracks in drifted snow are a sign you should move to lower-angle terrain or slopes with no snow before the recent storm.An incoming storm Thursday night will cause the avalanche danger to increase through the weekend.
2023-11-23,considerable,considerable,moderate,A potent winter storm is impacting the area Friday. As new snow accumulates the avalanche danger will increase rapidly with up to 10 inches possible by evening. Strong winds are drifting snow onto northerly and easterly aspects burying old weak snow. You can trigger an avalanche where you find more than around 10 inches of drifted snow. Avalanches may break deeper and wider than you anticipate. Getting caught in even a small avalanche at this time of year could end badly if it carries you into rocks or other shallowly buried hazards.Safer travel options include low-angle slopes and wind-sheltered terrain.
2023-11-23,low,low,low,"Limited snow cover means there are very few places where you can trigger an avalanche. If you find hard, wind-drifted snow on high-elevation northerly-facing slopes, there is a slim chance you might trigger a small avalanche. Use caution traveling in steep gullies and areas close to ridgelines where going for a ride in a small slide with such shallow snow cover can be dangerous."
2023-11-23,moderate,low,low,"Avalanche conditions are generally safe. The only place where you can trigger an avalanche right now is on steep, northerly-facing slopes in the alpine. This is where wind-drifted slabs sit on weaker collapsible layers."
2023-11-23,moderate,low,low,Avalanche conditions are generally safe. The only place where you can trigger a small avalanche is on a slope with firm surface snow over weaker snow at the ground. These slopes face a northerly or east direction and are located near and above treeline. A skier was caught and carried in a small avalanche in this type of terrain in the Front Range on Tuesday. Expect avalanche danger to rise for Friday as a storm moves into the area.
2023-11-23,low,low,low,Avalanche conditions are generally safe. The only place where you can trigger a small avalanche is on slopes with firm surface snow over weaker snow at the ground. These slopes face a northerly or east direction and are located near and above treeline. A skier was caught and carried in a small avalanche in this type of terrain in the Front Range on Tuesday.
2023-11-23,low,low,low,You could trigger a small avalanche on slopes with continuous snow cover where you find firm surface snow over weaker snow at the ground. These slopes will also be the most tempting to ride and will be found below ridges and in gullies. Avoid rounded pillows of firm snow that crack under your weight. You can find safer travel on lower-angled slopes or those with no snow before the recent storm.
2023-11-24,moderate,moderate,low,"A potent winter storm is entering Colorado on a southwest flow. Parts of the forecast area could see up to two feet of snow by Saturday morning. Avalanche danger and the size of the avalanche you can trigger will increase throughout the storm. Above treeline, northerly-facing slopes that harbor old snow are the most dangerous. Cracking and collapsing are obvious signs of instability and likely indicate you are on a slope where old/weak snow sits above the ground. Sticking to slopes that didn''t have snow before this storm or slopes less than about 32 degrees is a good way to keep yourself safe from avalanches. "
2023-11-24,moderate,moderate,low,"Snow and wind on Friday will create thick slabs of snow on northerly and east-facing slopes at upper elevations. This is where you can trigger avalanches. Avalanche conditions are most dangerous in the Flat Tops as this is where the heaviest snow will fall. Watch for, and avoid, steep northerly slopes where you observe freshly drifted snow."
2023-11-24,moderate,low,low,Avalanche conditions are generally safe. Use caution on upper-elevation northerly slopes especially if you encounter firm surface snow or observe fresh drifted snow. These are the spots where you can trigger a small avalanche. This is where thin slabs rest over weaker collapsible layers. 
2023-11-24,moderate,low,low,"Limited snow cover means there are very few places where you can trigger an avalanche. If you find hard, wind-drifted snow on high-elevation northerly-facing slopes, there is a slim chance you might trigger a small avalanche. Use caution traveling in steep gullies and areas close to ridgelines. A small slide with such shallow snow cover can be dangerous.New snow accumulation and wind drifting snow during this potent winter storm could be enough to increase avalanche hazard at upper elevations on Saturday. "
2023-11-24,moderate,moderate,low,"A potent winter storm is entering Colorado on a southwest flow. Snow starts Friday morning, with ten to sixteen inches forecast by Saturday. Avalanche danger, sensitivity, and the size of the avalanche you can trigger will increase throughout the storm. Near and above treeline, northerly-facing slopes that harbor old snow are the most dangerous places for you to trigger avalanches. Cracking and collapsing are obvious signs of instability and likely indicate you are on a slope where old/weak snow sits above the ground. If you trigger an avalanche, it might not be able to bury you but would lead to a dangerous ride through shallowly buried obstacles. Sticking to slopes that didn''t have snow before this storm or slopes less than about 32 degrees is a good way to keep yourself safe from avalanches."
2023-11-24,low,low,low,A few inches of new snow will do little to increase the avalanche danger due to an already thin snow cover. You might trigger a small avalanche if you find wind-drifted snow on top of old snow on high-elevation northerly-facing slopes. Use caution traveling in steep gullies and areas close to ridgelines where going for a ride in a small slide with such shallow snow cover can be dangerous.
2023-11-24,moderate,moderate,low,"You can trigger an avalanche near and above treeline on northerly and east-facing slopes where you find more than eight inches of wind-drifted snow. The old snow surface can be old weak snow, firm wind drifts, or slick crusts. Avalanches may break wider than you anticipate on these layers. Shooting cracks in drifted snow are a sign you should move to lower-angle or wind-sheltered terrain."
2023-11-24,considerable,considerable,moderate,A potent winter storm is impacting the area Friday. As new snow accumulates the avalanche danger will increase rapidly with up to 10 inches possible by evening. Strong winds are drifting snow onto northerly and easterly aspects. You can trigger an avalanche where you find more than around 10 inches of drifted snow resting over old weak snow. Avalanches may break deeper and wider than you anticipate. Getting caught in even a small avalanche at this time of year could end badly if it carries you into rocks or other shallowly buried hazards.Safer travel options include low-angle slopes and wind-sheltered terrain.
2023-11-24,moderate,low,low,"Use caution around upper-elevation slopes where you find freshly drifted snow. The most dangerous areas are steep, northerly-facing slopes, especially confined gullies or couloirs that catch drifted snow. A small early-season avalanche can take you for a dangerous ride."
2023-11-25,moderate,moderate,low,"A potent winter storm is entering Colorado on a southwest flow. Parts of the forecast area could see up to two feet of snow by Saturday morning. Avalanche danger and the size of the avalanche you can trigger will increase throughout the storm. Above treeline, northerly-facing slopes that harbor old snow are the most dangerous. Cracking and collapsing are obvious signs of instability and likely indicate you are on a slope where old/weak snow sits above the ground. Sticking to slopes that didn''t have snow before this storm or slopes less than about 32 degrees is a good way to keep yourself safe from avalanches. "
